person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
3565,1,280.0,-305.0,305.0,305.0,190.0,205.0,,205.0,280.0,305.0,-312.5,205.0,815.0
3566,1,225.0,240.0,250.0,250.0,-125.0,125.0,130.0,130.0,255.0,275.0,280.0,130.0,660.0
3567,1,-310.0,320.0,-335.0,320.0,170.0,180.0,-185.0,180.0,265.0,277.5,285.0,180.0,785.0
3568,1,240.0,-255.0,255.0,255.0,150.0,157.5,165.0,165.0,270.0,285.0,-300.0,165.0,705.0
3569,1,190.0,210.0,-225.0,210.0,135.0,145.0,-152.5,145.0,260.0,-280.0,-280.0,145.0,615.0
3570,1,205.0,215.0,227.5,227.5,120.0,130.0,132.5,132.5,230.0,245.0,255.0,132.5,615.0
3571,1,245.0,265.0,275.0,275.0,-147.5,147.5,-155.0,147.5,245.0,265.0,,147.5,687.5
3572,1,205.0,215.0,220.0,220.0,125.0,-132.5,-132.5,125.0,230.0,245.0,260.0,125.0,605.0
3573,1,185.0,195.0,210.0,210.0,110.0,120.0,127.5,127.5,210.0,225.0,237.5,127.5,575.0
3574,1,215.0,230.0,-235.0,230.0,150.0,162.5,167.5,167.5,220.0,230.0,-237.5,167.5,627.5
3575,1,200.0,215.0,-230.0,215.0,145.5,152.5,-160.0,152.5,210.0,225.0,232.5,152.5,600.0
3576,1,230.0,250.0,265.0,265.0,155.0,160.0,-165.0,160.0,230.0,260.0,280.0,160.0,705.0
3578,1,255.0,275.0,290.0,290.0,160.0,170.0,175.0,175.0,270.0,285.0,-295.0,175.0,750.0
3579,1,192.5,-200.0,-200.0,192.5,-115.0,115.0,-125.0,115.0,185.0,200.0,210.0,115.0,517.5
3580,1,260.0,270.0,272.5,272.5,160.0,170.0,175.0,175.0,280.0,290.0,305.0,175.0,752.5
3581,1,210.0,222.5,-230.0,222.5,115.0,-125.0,-125.0,115.0,215.0,-235.0,235.0,115.0,572.5
3582,1,190.0,212.5,220.0,220.0,120.0,130.0,132.5,132.5,200.0,220.0,230.0,132.5,582.5
3583,1,-155.0,155.0,170.0,170.0,125.0,132.5,137.5,137.5,200.0,222.5,230.5,137.5,537.5
3584,1,185.0,200.0,210.0,210.0,115.0,122.5,-127.5,122.5,200.0,215.0,-225.0,122.5,547.5
3585,1,270.0,-277.5,-277.5,270.0,157.5,-165.0,-165.0,157.5,285.0,-302.5,,157.5,712.5
